testing_date,total_tests,confirmed_positives,confirmed_deceased,estimate_recovered
2020-06-01,471,0.0,0.0,2088.0
2020-06-02,460,0.0,0.0,2095.0
2020-06-03,318,1.0,0.0,2105.0
2020-06-04,290,0.0,0.0,2113.0
2020-06-05,321,0.0,0.0,2121.0
2020-06-06,128,0.0,0.0,2126.0
2020-06-07,73,0.0,0.0,2128.0
2020-06-08,344,0.0,0.0,2130.0
2020-06-09,280,1.0,0.0,2130.0
2020-06-10,281,1.0,0.0,2132.0
2020-06-11,110,0.0,0.0,2133.0
2020-06-12,343,2.0,0.0,2134.0
2020-06-13,154,1.0,0.0,2134.0
2020-06-14,90,2.0,0.0,2140.0
2020-06-15,342,2.0,0.0,2140.0
2020-06-16,248,2.0,0.0,2141.0
2020-06-17,319,11.0,1.0,2142.0
2020-06-18,373,12.0,0.0,2142.0
2020-06-19,457,17.0,0.0,2142.0
2020-06-20,293,18.0,0.0,2142.0
2020-06-21,260,20.0,0.0,2142.0
2020-06-22,309,33.0,0.0,2142.0
2020-06-23,690,19.0,2.0,2145.0
2020-06-24,721,98.0,1.0,2149.0
2020-06-25,756,60.0,0.0,2150.0
2020-06-26,1228,89.0,0.0,2152.0
2020-06-27,672,74.0,0.0,2152.0
2020-06-28,467,20.0,0.0,2155.0
2020-06-29,1084,50.0,1.0,2155.0
2020-06-30,1026,58.0,1.0,2155.0
2020-07-01,1093,77.0,0.0,2155.0
2020-07-02,1088,99.0,0.0,2168.0
2020-07-03,1180,90.0,1.0,2183.0
2020-07-04,999,55.0,0.0,2196.0
2020-07-05,501,67.0,1.0,2210.0
2020-07-06,1414,55.0,0.0,2229.0
2020-07-07,1265,65.0,1.0,2277.0
2020-07-08,1574,112.0,1.0,2323.0
2020-07-09,1332,114.0,0.0,2377.0
2020-07-10,1232,128.0,3.0,2466.0
2020-07-11,1105,50.0,0.0,2486.0
2020-07-12,663,73.0,0.0,2514.0
2020-07-13,1633,71.0,1.0,2558.0
2020-07-14,1951,94.0,0.0,2629.0
2020-07-15,1839,66.0,2.0,2729.0
2020-07-16,1545,77.0,1.0,2825.0
2020-07-17,1566,122.0,2.0,2929.0
2020-07-18,1233,93.0,0.0,3018.0
2020-07-19,654,22.0,0.0,3101.0
2020-07-20,1831,73.0,0.0,3183.0
2020-07-21,1655,73.0,0.0,3278.0
2020-07-22,1583,84.0,0.0,3394.0
2020-07-23,1165,108.0,0.0,3555.0
2020-07-24,1572,84.0,0.0,3778.0
2020-07-25,1096,62.0,0.0,3866.0
2020-07-26,641,27.0,0.0,3936.0
2020-07-27,1545,70.0,1.0,4034.0
2020-07-28,1374,43.0,0.0,4099.0
2020-07-29,1527,83.0,0.0,4178.0
2020-07-30,1372,66.0,0.0,4267.0
2020-07-31,1671,78.0,2.0,4341.0
2020-08-01,1427,64.0,0.0,4373.0
2020-08-02,600,11.0,0.0,4438.0
2020-08-03,1284,23.0,0.0,4517.0
2020-08-04,1214,60.0,0.0,4589.0
2020-08-05,583,26.0,0.0,4688.0
2020-08-06,1296,57.0,0.0,4758.0
2020-08-07,1313,90.0,0.0,4817.0
2020-08-08,966,55.0,0.0,4861.0
2020-08-09,585,37.0,0.0,4906.0
2020-08-10,1548,105.0,0.0,4962.0
2020-08-11,1311,134.0,1.0,5024.0
2020-08-12,1491,183.0,0.0,5078.0
2020-08-13,1247,194.0,1.0,5134.0
2020-08-14,2030,211.0,2.0,5193.0
2020-08-15,1188,140.0,0.0,5220.0
2020-08-16,889,64.0,0.0,5254.0
2020-08-17,2294,235.0,1.0,5318.0
2020-08-18,2465,324.0,2.0,5386.0
2020-08-19,2361,254.0,0.0,5472.0
2020-08-20,2308,302.0,0.0,5584.0
2020-08-21,3176,269.0,2.0,5678.0
2020-08-22,2406,210.0,2.0,5801.0
2020-08-23,1281,77.0,0.0,5926.0
2020-08-24,2828,202.0,2.0,6124.0
2020-08-25,3090,325.0,3.0,6362.0
2020-08-26,3831,324.0,1.0,6595.0
2020-08-27,4105,350.0,2.0,6809.0
2020-08-28,2828,439.0,2.0,7024.0
2020-08-29,3140,225.0,0.0,7212.0
2020-08-30,1430,78.0,1.0,7434.0
2020-08-31,3672,208.0,2.0,7735.0
2020-09-01,4675,310.0,0.0,7968.0
2020-09-02,4279,383.0,1.0,8266.0
2020-09-03,3511,316.0,2.0,8530.0
2020-09-04,4019,323.0,1.0,8771.0
2020-09-05,3812,197.0,1.0,9008.0
2020-09-06,1806,67.0,0.0,9266.0
2020-09-07,4138,255.0,0.0,9553.0
2020-09-08,3324,286.0,0.0,9833.0
2020-09-09,87,5.0,0.0,10142.0
