,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1025792,HR,Croatia,,,,,,2020-02-15,10.0,2.0,29.0,5.0,1.0,-2.0
1025793,HR,Croatia,,,,,,2020-02-16,13.0,6.0,32.0,9.0,1.0,-2.0
1025794,HR,Croatia,,,,,,2020-02-17,5.0,3.0,18.0,5.0,1.0,-1.0
1025795,HR,Croatia,,,,,,2020-02-18,1.0,-1.0,7.0,0.0,1.0,1.0
1025796,HR,Croatia,,,,,,2020-02-19,4.0,2.0,12.0,2.0,1.0,0.0
1025797,HR,Croatia,,,,,,2020-02-20,4.0,2.0,11.0,3.0,0.0,0.0
1025798,HR,Croatia,,,,,,2020-02-21,3.0,4.0,15.0,5.0,0.0,0.0
1025799,HR,Croatia,,,,,,2020-02-22,8.0,4.0,36.0,4.0,2.0,-2.0
1025800,HR,Croatia,,,,,,2020-02-23,10.0,5.0,18.0,14.0,2.0,-2.0
1025801,HR,Croatia,,,,,,2020-02-24,4.0,7.0,19.0,5.0,1.0,-1.0
1025802,HR,Croatia,,,,,,2020-02-25,1.0,10.0,16.0,3.0,1.0,0.0
1025803,HR,Croatia,,,,,,2020-02-26,-8.0,1.0,-9.0,-8.0,-1.0,2.0
1025804,HR,Croatia,,,,,,2020-02-27,0.0,0.0,5.0,-1.0,0.0,1.0
1025805,HR,Croatia,,,,,,2020-02-28,-3.0,0.0,1.0,-1.0,0.0,1.0
1025806,HR,Croatia,,,,,,2020-02-29,-1.0,2.0,2.0,-6.0,1.0,0.0
1025807,HR,Croatia,,,,,,2020-03-01,-8.0,-5.0,-39.0,-6.0,-2.0,2.0
1025808,HR,Croatia,,,,,,2020-03-02,2.0,2.0,4.0,5.0,2.0,0.0
1025809,HR,Croatia,,,,,,2020-03-03,-1.0,-2.0,2.0,1.0,2.0,1.0
1025810,HR,Croatia,,,,,,2020-03-04,3.0,2.0,5.0,1.0,2.0,0.0
1025811,HR,Croatia,,,,,,2020-03-05,3.0,2.0,18.0,3.0,3.0,0.0
1025812,HR,Croatia,,,,,,2020-03-06,-2.0,3.0,-9.0,1.0,1.0,1.0
1025813,HR,Croatia,,,,,,2020-03-07,7.0,6.0,11.0,-2.0,3.0,-1.0
1025814,HR,Croatia,,,,,,2020-03-08,13.0,11.0,9.0,9.0,2.0,-2.0
1025815,HR,Croatia,,,,,,2020-03-09,1.0,2.0,15.0,3.0,2.0,-1.0
1025816,HR,Croatia,,,,,,2020-03-10,2.0,5.0,19.0,3.0,3.0,0.0
1025817,HR,Croatia,,,,,,2020-03-11,3.0,11.0,27.0,3.0,2.0,-1.0
1025818,HR,Croatia,,,,,,2020-03-12,1.0,21.0,25.0,1.0,1.0,0.0
1025819,HR,Croatia,,,,,,2020-03-13,-11.0,27.0,-5.0,-11.0,-2.0,3.0
1025820,HR,Croatia,,,,,,2020-03-14,-18.0,9.0,1.0,-22.0,-4.0,4.0
1025821,HR,Croatia,,,,,,2020-03-15,-24.0,3.0,3.0,-25.0,-8.0,4.0
1025822,HR,Croatia,,,,,,2020-03-16,-19.0,18.0,13.0,-35.0,-24.0,9.0
1025823,HR,Croatia,,,,,,2020-03-17,-29.0,-1.0,17.0,-41.0,-29.0,11.0
1025824,HR,Croatia,,,,,,2020-03-18,-30.0,7.0,14.0,-45.0,-33.0,12.0
1025825,HR,Croatia,,,,,,2020-03-19,-57.0,-14.0,14.0,-51.0,-40.0,15.0
1025826,HR,Croatia,,,,,,2020-03-20,-65.0,-20.0,4.0,-57.0,-45.0,18.0
1025827,HR,Croatia,,,,,,2020-03-21,-73.0,-28.0,-28.0,-61.0,-41.0,13.0
1025828,HR,Croatia,,,,,,2020-03-22,-79.0,-49.0,-57.0,-56.0,-44.0,11.0
1025829,HR,Croatia,,,,,,2020-03-23,-73.0,-39.0,-52.0,-77.0,-58.0,22.0
1025830,HR,Croatia,,,,,,2020-03-24,-80.0,-50.0,-60.0,-82.0,-63.0,27.0
1025831,HR,Croatia,,,,,,2020-03-25,-80.0,-49.0,-59.0,-82.0,-64.0,27.0
1025832,HR,Croatia,,,,,,2020-03-26,-79.0,-51.0,-60.0,-82.0,-64.0,28.0
1025833,HR,Croatia,,,,,,2020-03-27,-78.0,-47.0,-52.0,-79.0,-63.0,29.0
1025834,HR,Croatia,,,,,,2020-03-28,-79.0,-51.0,-42.0,-74.0,-52.0,18.0
1025835,HR,Croatia,,,,,,2020-03-29,-82.0,-57.0,-45.0,-74.0,-50.0,15.0
1025836,HR,Croatia,,,,,,2020-03-30,-74.0,-46.0,-41.0,-79.0,-61.0,25.0
1025837,HR,Croatia,,,,,,2020-03-31,-74.0,-45.0,-42.0,-77.0,-61.0,25.0
1025838,HR,Croatia,,,,,,2020-04-01,-72.0,-41.0,-34.0,-76.0,-60.0,24.0
1025839,HR,Croatia,,,,,,2020-04-02,-71.0,-43.0,-22.0,-74.0,-60.0,24.0
1025840,HR,Croatia,,,,,,2020-04-03,-71.0,-38.0,-25.0,-73.0,-59.0,25.0
1025841,HR,Croatia,,,,,,2020-04-04,-73.0,-41.0,-31.0,-68.0,-47.0,16.0
1025842,HR,Croatia,,,,,,2020-04-05,-76.0,-44.0,-30.0,-66.0,-46.0,13.0
1025843,HR,Croatia,,,,,,2020-04-06,-66.0,-35.0,-10.0,-71.0,-57.0,21.0
1025844,HR,Croatia,,,,,,2020-04-07,-65.0,-33.0,-5.0,-70.0,-57.0,21.0
1025845,HR,Croatia,,,,,,2020-04-08,-64.0,-28.0,-8.0,-70.0,-57.0,21.0
1025846,HR,Croatia,,,,,,2020-04-09,-60.0,-16.0,-8.0,-68.0,-57.0,21.0
1025847,HR,Croatia,,,,,,2020-04-10,-64.0,-15.0,-17.0,-70.0,-61.0,25.0
1025848,HR,Croatia,,,,,,2020-04-11,-70.0,-30.0,-21.0,-65.0,-52.0,16.0
1025849,HR,Croatia,,,,,,2020-04-12,-86.0,-90.0,-30.0,-73.0,-51.0,14.0
1025850,HR,Croatia,,,,,,2020-04-13,-84.0,-77.0,-2.0,-80.0,-86.0,29.0
1025851,HR,Croatia,,,,,,2020-04-14,-71.0,-41.0,-47.0,-76.0,-58.0,24.0
1025852,HR,Croatia,,,,,,2020-04-15,-63.0,-30.0,-6.0,-68.0,-55.0,20.0
1025853,HR,Croatia,,,,,,2020-04-16,-62.0,-32.0,3.0,-67.0,-55.0,20.0
1025854,HR,Croatia,,,,,,2020-04-17,-63.0,-27.0,0.0,-67.0,-54.0,21.0
1025855,HR,Croatia,,,,,,2020-04-18,-65.0,-32.0,3.0,-57.0,-39.0,11.0
1025856,HR,Croatia,,,,,,2020-04-19,-70.0,-36.0,0.0,-59.0,-37.0,10.0
1025857,HR,Croatia,,,,,,2020-04-20,-62.0,-33.0,-15.0,-69.0,-53.0,19.0
1025858,HR,Croatia,,,,,,2020-04-21,-63.0,-32.0,-19.0,-68.0,-53.0,19.0
1025859,HR,Croatia,,,,,,2020-04-22,-60.0,-29.0,7.0,-66.0,-52.0,18.0
1025860,HR,Croatia,,,,,,2020-04-23,-59.0,-31.0,11.0,-65.0,-51.0,18.0
1025861,HR,Croatia,,,,,,2020-04-24,-61.0,-28.0,8.0,-65.0,-50.0,19.0
1025862,HR,Croatia,,,,,,2020-04-25,-62.0,-26.0,12.0,-57.0,-36.0,9.0
1025863,HR,Croatia,,,,,,2020-04-26,-68.0,-35.0,9.0,-54.0,-34.0,7.0
1025864,HR,Croatia,,,,,,2020-04-27,-49.0,-21.0,22.0,-59.0,-46.0,15.0
1025865,HR,Croatia,,,,,,2020-04-28,-51.0,-21.0,10.0,-59.0,-46.0,14.0
1025866,HR,Croatia,,,,,,2020-04-29,-54.0,-17.0,-12.0,-64.0,-47.0,17.0
1025867,HR,Croatia,,,,,,2020-04-30,-43.0,5.0,17.0,-56.0,-46.0,13.0
1025868,HR,Croatia,,,,,,2020-05-01,-85.0,-88.0,-6.0,-78.0,-83.0,26.0
1025869,HR,Croatia,,,,,,2020-05-02,-52.0,-5.0,-5.0,-53.0,-36.0,9.0
1025870,HR,Croatia,,,,,,2020-05-03,-72.0,-80.0,16.0,-51.0,-35.0,7.0
1025871,HR,Croatia,,,,,,2020-05-04,-40.0,-7.0,30.0,-52.0,-40.0,12.0
1025872,HR,Croatia,,,,,,2020-05-05,-47.0,-15.0,5.0,-57.0,-40.0,14.0
1025873,HR,Croatia,,,,,,2020-05-06,-44.0,-11.0,14.0,-53.0,-39.0,13.0
1025874,HR,Croatia,,,,,,2020-05-07,-42.0,-12.0,32.0,-52.0,-38.0,12.0
1025875,HR,Croatia,,,,,,2020-05-08,-43.0,-6.0,28.0,-51.0,-37.0,12.0
1025876,HR,Croatia,,,,,,2020-05-09,-44.0,0.0,39.0,-43.0,-18.0,4.0
1025877,HR,Croatia,,,,,,2020-05-10,-68.0,-80.0,22.0,-45.0,-24.0,4.0
1025878,HR,Croatia,,,,,,2020-05-11,-15.0,1.0,10.0,-43.0,-31.0,9.0
1025879,HR,Croatia,,,,,,2020-05-12,-24.0,-10.0,-8.0,-50.0,-33.0,12.0
1025880,HR,Croatia,,,,,,2020-05-13,-18.0,-6.0,22.0,-42.0,-30.0,9.0
1025881,HR,Croatia,,,,,,2020-05-14,-19.0,-8.0,16.0,-42.0,-30.0,8.0
1025882,HR,Croatia,,,,,,2020-05-15,-20.0,-2.0,12.0,-43.0,-30.0,8.0
1025883,HR,Croatia,,,,,,2020-05-16,-18.0,5.0,30.0,-32.0,-10.0,1.0
1025884,HR,Croatia,,,,,,2020-05-17,-41.0,-77.0,36.0,-36.0,-13.0,1.0
1025885,HR,Croatia,,,,,,2020-05-18,-7.0,2.0,35.0,-35.0,-27.0,6.0
1025886,HR,Croatia,,,,,,2020-05-19,-14.0,-5.0,4.0,-40.0,-28.0,9.0
1025887,HR,Croatia,,,,,,2020-05-20,-13.0,-4.0,2.0,-40.0,-29.0,9.0
1025888,HR,Croatia,,,,,,2020-05-21,-6.0,0.0,45.0,-32.0,-28.0,6.0
1025889,HR,Croatia,,,,,,2020-05-22,-11.0,1.0,43.0,-33.0,-26.0,6.0
1025890,HR,Croatia,,,,,,2020-05-23,-11.0,5.0,64.0,-25.0,-4.0,-2.0
1025891,HR,Croatia,,,,,,2020-05-24,-33.0,-76.0,41.0,-30.0,-9.0,1.0
1025892,HR,Croatia,,,,,,2020-05-25,-6.0,4.0,25.0,-34.0,-25.0,6.0
1025893,HR,Croatia,,,,,,2020-05-26,-9.0,-5.0,20.0,-34.0,-23.0,7.0
1025894,HR,Croatia,,,,,,2020-05-27,-7.0,-1.0,35.0,-31.0,-23.0,6.0
1025895,HR,Croatia,,,,,,2020-05-28,-8.0,-2.0,30.0,-31.0,-23.0,6.0
1025896,HR,Croatia,,,,,,2020-05-29,-3.0,25.0,38.0,-26.0,-23.0,4.0
1025897,HR,Croatia,,,,,,2020-05-30,-45.0,-79.0,57.0,-39.0,-29.0,3.0
1025898,HR,Croatia,,,,,,2020-05-31,-13.0,-16.0,35.0,-20.0,6.0,-1.0
1025899,HR,Croatia,,,,,,2020-06-01,3.0,9.0,48.0,-24.0,-20.0,4.0
1025900,HR,Croatia,,,,,,2020-06-02,-3.0,0.0,48.0,-26.0,-19.0,4.0
1025901,HR,Croatia,,,,,,2020-06-03,-4.0,0.0,42.0,-29.0,-20.0,4.0
1025902,HR,Croatia,,,,,,2020-06-04,-5.0,-1.0,23.0,-27.0,-20.0,5.0
1025903,HR,Croatia,,,,,,2020-06-05,-9.0,2.0,8.0,-30.0,-21.0,6.0
1025904,HR,Croatia,,,,,,2020-06-06,-2.0,2.0,74.0,-14.0,5.0,-3.0
1025905,HR,Croatia,,,,,,2020-06-07,-3.0,-13.0,65.0,-12.0,12.0,-3.0
1025906,HR,Croatia,,,,,,2020-06-08,0.0,2.0,43.0,-23.0,-20.0,4.0
1025907,HR,Croatia,,,,,,2020-06-09,1.0,2.0,51.0,-24.0,-20.0,4.0
