testing_date,total_tests,confirmed_positives,confirmed_deceased,estimate_recovered
2020-02-25,32,1.0,0.0,
2020-02-26,41,1.0,0.0,
2020-02-27,28,2.0,0.0,
2020-02-28,13,2.0,0.0,
2020-02-29,10,0.0,0.0,
2020-03-01,10,1.0,0.0,
2020-03-02,24,1.0,0.0,
2020-03-03,15,0.0,0.0,
2020-03-04,14,1.0,0.0,
2020-03-05,18,1.0,0.0,
2020-03-06,13,1.0,0.0,
2020-03-07,13,0.0,0.0,
2020-03-08,5,0.0,0.0,
2020-03-09,16,1.0,0.0,
2020-03-10,18,3.0,0.0,
2020-03-11,46,6.0,0.0,
2020-03-12,78,9.0,0.0,
2020-03-13,77,7.0,0.0,
2020-03-14,101,11.0,0.0,
2020-03-15,74,9.0,0.0,
2020-03-16,134,11.0,0.0,
2020-03-17,134,21.0,0.0,
2020-03-18,149,22.0,0.0,
2020-03-19,217,31.0,0.0,
2020-03-20,347,88.0,0.0,
2020-03-21,187,43.0,1.0,
2020-03-22,162,37.0,2.0,
2020-03-23,351,81.0,2.0,
2020-03-24,318,62.0,2.0,
2020-03-25,308,51.0,1.0,
2020-03-26,492,94.0,5.0,
2020-03-27,500,67.0,1.0,
2020-03-28,315,62.0,2.0,
2020-03-29,430,81.0,3.0,
2020-03-30,493,79.0,2.0,
2020-03-31,572,90.0,1.0,
2020-04-01,599,71.0,2.0,
2020-04-02,820,65.0,0.0,
2020-04-03,531,48.0,0.0,
2020-04-04,643,50.0,0.0,
2020-04-05,554,39.0,1.0,
2020-04-06,787,65.0,1.0,
2020-04-07,698,75.0,2.0,
2020-04-08,758,55.0,2.0,
2020-04-09,913,91.0,7.0,
2020-04-10,1012,61.0,3.0,
2020-04-11,616,53.0,2.0,
2020-04-12,444,25.0,2.0,
2020-04-13,442,48.0,0.0,
2020-04-14,802,50.0,2.0,
2020-04-15,811,37.0,0.0,
2020-04-16,866,14.0,0.0,
2020-04-17,800,20.0,0.0,
2020-04-18,903,23.0,0.0,
2020-04-19,510,24.0,1.0,
2020-04-20,654,23.0,4.0,
2020-04-21,957,45.0,1.0,
2020-04-22,859,26.0,2.0,
2020-04-23,925,28.0,0.0,
2020-04-24,824,6.0,0.0,
2020-04-25,686,14.0,0.0,
2020-04-26,323,9.0,0.0,
2020-04-27,836,6.0,0.0,
2020-04-28,879,20.0,0.0,
2020-04-29,916,12.0,1.0,
2020-04-30,812,8.0,0.0,
2020-05-01,355,3.0,0.0,
2020-05-02,702,11.0,0.0,
2020-05-03,487,6.0,0.0,
2020-05-04,916,12.0,2.0,
2020-05-05,1155,2.0,0.0,
2020-05-06,1034,10.0,0.0,
2020-05-07,980,40.0,0.0,
2020-05-08,1063,8.0,0.0,
2020-05-09,987,16.0,0.0,
2020-05-10,751,5.0,0.0,
2020-05-11,1266,9.0,1.0,
2020-05-12,1353,8.0,0.0,
2020-05-13,1398,6.0,0.0,
2020-05-14,1011,0.0,0.0,
2020-05-15,1317,4.0,0.0,
2020-05-16,1076,0.0,0.0,
2020-05-17,679,2.0,0.0,
2020-05-18,1521,5.0,0.0,
2020-05-19,1224,1.0,0.0,
2020-05-20,1239,4.0,0.0,
2020-05-21,1038,5.0,0.0,
2020-05-22,899,0.0,0.0,
2020-05-23,882,1.0,0.0,
2020-05-24,700,0.0,0.0,
2020-05-25,1023,0.0,0.0,
2020-05-26,982,0.0,0.0,
2020-05-27,609,1.0,0.0,
2020-05-28,456,1.0,0.0,
2020-05-29,561,0.0,0.0,
2020-05-30,258,0.0,0.0,
2020-05-31,245,0.0,0.0,
2020-06-01,471,0.0,0.0,
